Country,Government Type
Afghanistan,presidential Islamic republic
Albania,parliamentary republic
Algeria,presidential republic
American Samoa,presidential democracy
Andorra,parliamentary democracy
Angola,presidential republic
Anguilla,parliamentary democracy 
Antarctica,no government
Antigua and Barbuda,parliamentary democracy
Argentina,presidential republic
Armenia,parliamentary democracy
Aruba,parliamentary democracy
Australia,parliamentary democracy
Austria,federal parliamentary republic
Azerbaijan,presidential republic
"Bahamas, The",parliamentary democracy
Bahrain,constitutional monarchy
Bangladesh,parliamentary republic
Barbados,parliamentary democracy 
Belarus,dictatorship
Belgium,federal parliamentary democracy
Belize,parliamentary democracy
Benin,presidential republic
Bermuda,parliamentary democracy
Bhutan,constitutional monarchy
Bolivia,presidential republic
Bosnia and Herzegovina,parliamentary republic
Botswana,parliamentary republic
Brazil,federal presidential republic
British Virgin Islands,parliamentary democracy
Brunei,absolute monarchy
Bulgaria,parliamentary republic
Burkina Faso,presidential republic
Burma,parliamentary republic
Burundi,presidential republic
Cabo Verde,parliamentary republic
Cambodia,parliamentary constitutional monarchy
Cameroon,presidential republic
Canada,federal parliamentary democracy
Cayman Islands,parliamentary democracy
Central African Republic,presidential republic
Chad,presidential republic
Chile,presidential republic
China,communist state
Christmas Island,non-self-governing overseas territory of Australia
Cocos (Keeling) Islands,non-self-governing overseas territory of Australia
Colombia,presidential republic
Comoros,federal presidential republic
"Congo, Democratic Republic of the",semi-presidential republic
"Congo, Republic of the",presidential republic
Cook Islands,self-governing parliamentary democracy in free association with New Zealand
Costa Rica,presidential republic
Cote d'Ivoire,presidential republic
Croatia,parliamentary republic
Cuba,communist state
Curacao,parliamentary democracy
Cyprus,presidential democracy
Czechia,parliamentary republic
Denmark,parliamentary constitutional monarchy
Djibouti,semi-presidential republic
Dominica,parliamentary republic
Dominican Republic,presidential republic
Ecuador,presidential republic
Egypt,presidential republic
El Salvador,presidential republic
Equatorial Guinea,presidential republic
Eritrea,presidential republic
Estonia,parliamentary republic
Ethiopia,federal parliamentary republic
Falkland Islands (Islas Malvinas),parliamentary democracy (Legislative Assembly); self-governing overseas territory of the UK
Faroe Islands,parliamentary democracy (Faroese Parliament); part of the Kingdom of Denmark
Fiji,parliamentary republic
Finland,parliamentary republic
France,semi-presidential republic
French Polynesia,parliamentary democracy (Assembly of French Polynesia); an overseas collectivity of France
Gabon,presidential republic
"Gambia, The",presidential republic
Georgia,semi-presidential republic
Germany,federal parliamentary republic
Ghana,presidential republic
Gibraltar,parliamentary democracy (Parliament); self-governing overseas territory of the UK
Greece,parliamentary republic
Greenland,parliamentary democracy (Parliament of Greenland or Inatsisartut)
Grenada,parliamentary democracy
Guam,presidential democracy; a self-governing unincorporated territory of the US
Guatemala,presidential republic
Guernsey,parliamentary democracy (States of Deliberation); a Crown dependency of the UK
Guinea,presidential republic
Guinea-Bissau,semi-presidential republic
Guyana,parliamentary republic
Haiti,semi-presidential republic
Holy See (Vatican City),"ecclesiastical elective monarchy; self-described as an ""absolute monarchy"""
Honduras,presidential republic
Hong Kong,presidential limited democracy
Hungary,parliamentary republic
Iceland,parliamentary republic
India,federal parliamentary republic
Indonesia,presidential republic
Iran,theocratic republic
Iraq,federal parliamentary republic
Ireland,parliamentary republic
Isle of Man,parliamentary democracy (Tynwald); a Crown dependency of the UK
Israel,parliamentary democracy
Italy,parliamentary republic
Jamaica,parliamentary democracy under a constitutional monarchy
Japan,parliamentary constitutional monarchy
Jersey,parliamentary democracy (Assembly of the States of Jersey); a Crown dependency of the UK
Jordan,parliamentary constitutional monarchy
Kazakhstan,presidential republic
Kenya,presidential republic
Kiribati,presidential republic
"Korea, North","single-party state; official state ideology of ""Juche"" or ""national self-reliance"
"Korea, South",presidential republic
Kosovo,parliamentary republic
Kuwait,constitutional monarchy (emirate)
Kyrgyzstan,parliamentary republic
Laos,communist state
Latvia,parliamentary republic
Lebanon,parliamentary republic
Lesotho,parliamentary constitutional monarchy
Liberia,presidential republic
Libya,in transition
Liechtenstein,constitutional monarchy
Lithuania,semi-presidential republic
Luxembourg,constitutional monarchy
Macau,presidential limited democracy; a special administrative region of the People's Republic of China
Macedonia,parliamentary republic
Madagascar,semi-presidential republic
Malawi,presidential republic
Malaysia,federal parliamentary constitutional monarchy
Maldives,presidential republic
Mali,semi-presidential republic
Malta,parliamentary republic
Marshall Islands,presidential republic in free association with the US
Mauritania,presidential republic
Mauritius,parliamentary republic
Mexico,federal presidential republic
"Micronesia, Federated States of",federal republic in free association with the US
Moldova,parliamentary republic
Monaco,constitutional monarchy
Mongolia,semi-presidential republic
Montenegro,parliamentary republic
Montserrat,parliamentary democracy (Legislative Council); self-governing overseas territory of the UK
Morocco,parliamentary constitutional monarchy
Mozambique,presidential republic
Namibia,presidential republic
Nauru,parliamentary republic
Nepal,federal parliamentary republic
Netherlands,parliamentary constitutional monarchy
New Caledonia,parliamentary democracy (Territorial Congress); an overseas collectivity of France
New Zealand,parliamentary democracy under a constitutional monarchy
Nicaragua,presidential republic
Niger,semi-presidential republic
Nigeria,federal presidential republic
Niue,self-governing parliamentary democracy (Fouo Ekepule) in free association with New Zealand
Norfolk Island,"non-self-governing overseas territory of Australia; note - the Norfolk Island Regional Council, which began operations 1 July 2016, is responsible for planning and managing a variety of public services, including those funded by the Government of Australia"
Northern Mariana Islands,presidential democracy; a commonwealth in political union with the US
Norway,parliamentary constitutional monarchy
Oman,absolute monarchy
Pakistan,federal parliamentary republic
Palau,presidential republic in free association with the US
Panama,presidential republic
Papua New Guinea,parliamentary democracy (National Parliament) under a constitutional monarchy; a Commonwealth realm
Paraguay,presidential republic
Peru,presidential republic
Philippines,presidential republic
Pitcairn Islands,parliamentary democracy (Island Council); overseas territory of the UK
Poland,parliamentary republic
Portugal,semi-presidential republic
Puerto Rico,presidential democracy; a self-governing commonwealth in political association with the US
Qatar,absolute monarchy
